"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G49520",140.454929248921,-1.13032487893727,0.309071199355596,-3.65716663763548,0.000255018601386656,0.0421451277997642
"AT1G62630",404.825636635597,-1.07226887875134,0.266594021459587,-4.02210399498358,5.76805789032668e-05,0.0175126333070164
"AT1G42550",2782.83512027585,-1.11788825671908,0.304761483352096,-3.66807591439487,0.000244382631005358,0.0418788033324524
"AT1G78210",451.261880395654,1.1723805461367,0.264464944255935,4.43302816346857,9.29187228794713e-06,0.00664590024849736
"AT1G64500",620.137977795046,-1.154996360904,0.301101216433177,-3.8359073224147,0.000125101580122099,0.0264025359218664
"AT1G78070",1532.91381622456,-1.23831662148517,0.311475849766108,-3.97564248533247,7.01895039951275e-05,0.0192809453355504
"AT5G45760",98.4851279901486,-1.08307422043982,0.281483908185122,-3.84773050588569,0.000119217090055612,0.0264025359218664
"AT5G03230",308.912217907299,-1.39194878176095,0.379753105305696,-3.66540460713403,0.00024694784914581,0.0418988184050724
"AT5G03720",1402.39056205353,1.01385787745003,0.277280763346403,3.65643063447368,0.000255751575575259,0.0421451277997642
"AT5G41761",306.176474236362,1.01657095085545,0.252524670617531,4.02563024186706,5.68229187903708e-05,0.0175126333070164
"AT5G26160",116.527952704651,-1.02481462567664,0.255751740965841,-4.00706803326714,6.14771589320965e-05,0.0180326052962519
"AT5G02020",191.759533926412,-1.49563920003645,0.396941184506478,-3.767911364239,0.000164619128237372,0.0313065783876479
"AT5G37260",1090.48416367014,-1.24180687475638,0.292334327044882,-4.2478996131225,2.15784039617691e-05,0.00982725944637833
"AT5G16560",420.934013838544,1.28060554711064,0.276559295939478,4.63049178209829,3.64798262173816e-06,0.00409930325416187
"AT5G56550",1373.97454096411,-1.36418349472936,0.314879708005202,-4.33239570555883,1.47495538625342e-05,0.00901781842751566
"AT5G42860",135.133211274179,1.22430634118273,0.340651377864019,3.59401552654645,0.00032562041981225,0.0481639913271008
"AT5G62180",114.739391287391,1.25621341033719,0.343927146835999,3.65255671700788,0.000259642224254114,0.0421451277997642
"AT5G25450",79.0017250336559,2.46602495385648,0.685577148557781,3.59700576228971,0.000321901355151897,0.0480243521746442
"AT5G57655",10368.2083572539,-1.00896801760374,0.276941993474258,-3.6432467497838,0.000269220527052864,0.042355731283426
"AT5G00825",25.3301332759998,2.27650480531201,0.572401448343056,3.97711223810118,6.97572444186902e-05,0.0192809453355504
"AT3G48360",4743.00586214455,-1.71041228806238,0.283910225864623,-6.02448285493583,1.69651186403475e-09,8.96215652458698e-06
"AT3G46640",2126.9817533019,1.14915835403657,0.207742369290006,5.53165133315853,3.17230001565269e-08,7.84283201012648e-05
"AT3G62390",93.7827023971563,-1.4315617661969,0.372725871016133,-3.84078991429854,0.000122639039199928,0.0264025359218664
"AT3G03580",43.9977207837864,1.4184651092977,0.365570275996209,3.88014344282303,0.000104394879567624,0.0247487367917438
"AT3G50140",154.967303068402,1.47849365722279,0.331854731471895,4.45524356595775,8.37980040981545e-06,0.00664590024849736
"AT3G54810",4171.65470245749,1.25743940249209,0.299384469708792,4.20008226784505,2.66818014687925e-05,0.0115438814054731
"AT2G47260",52.1686254108357,1.27155564622415,0.305129419504497,4.16726662505713,3.08273853425528e-05,0.0127592071212157
"AT2G19450",729.622465436605,1.15900155620756,0.193421526202519,5.99210221820941,2.07145649476181e-09,8.96215652458698e-06
"AT2G28080",1015.00644890432,1.31955655823835,0.25145760299629,5.24763038585802,1.54068006125885e-07,0.000296255657112729
"AT2G20210",128.29679793939,-1.43079239817402,0.32891248656289,-4.35007017558285,1.36093971659094e-05,0.00872311953160106
"AT2G27820",466.943300342984,1.23111064619567,0.297725794955578,4.13504864897367,3.54879449305882e-05,0.0127948828118492
"AT2G45080",44.1386098210627,3.17911709663459,0.73717452151864,4.31257050241691,1.61367401299797e-05,0.0092521104041787
"AT4G38480",69.0323505307476,-1.49026712479357,0.349878804260476,-4.25938098177592,2.04993814760459e-05,0.00982725944637833
"AT4G29910",108.522708478112,-1.13808130609647,0.252588165137043,-4.50567945445502,6.61608979471184e-06,0.00573722039102059
"AT4G13930",1555.95498614442,1.02422624583314,0.226673984941486,4.51849931564724,6.22794747223113e-06,0.00573722039102059
"AT4G22770",213.396786934593,1.2303933939383,0.24716702585636,4.97798357072655,6.42501083643117e-07,0.00085531721180983
"AT4G36050",114.727096175699,-1.26665336194108,0.340362479674442,-3.72148352883266,0.000198055786461289,0.0368554133386996
